Line 3: KEYWORD         -> shuru
Line 3: PUNCTUATION     -> {
Line 4: KEYWORD         -> adad
Line 4: IDENTIFIER      -> x
Line 4: OPERATOR        -> =
Line 4: NUMBER          -> 10
Line 4: PUNCTUATION     -> ;
Line 5: KEYWORD         -> adad
Line 5: IDENTIFIER      -> y
Line 5: OPERATOR        -> =
Line 5: NUMBER          -> 5
Line 5: PUNCTUATION     -> ;
Line 6: KEYWORD         -> ashar
Line 6: IDENTIFIER      -> rate
Line 6: OPERATOR        -> =
Line 6: NUMBER          -> 3.75
Line 6: PUNCTUATION     -> ;
Line 7: KEYWORD         -> lafz
Line 7: IDENTIFIER      -> message
Line 7: OPERATOR        -> =
Line 7: STRING_LITERAL  -> "Testing PakCode Lexer"
Line 7: PUNCTUATION     -> ;
Line 8: IDENTIFIER      -> bool
Line 8: IDENTIFIER      -> flag
Line 8: OPERATOR        -> =
Line 8: KEYWORD         -> sahi
Line 8: PUNCTUATION     -> ;
Line 10: KEYWORD         -> amal
Line 10: IDENTIFIER      -> multiply
Line 10: PUNCTUATION     -> (
Line 10: KEYWORD         -> adad
Line 10: IDENTIFIER      -> a
Line 10: PUNCTUATION     -> ,
Line 10: KEYWORD         -> adad
Line 10: IDENTIFIER      -> b
Line 10: PUNCTUATION     -> )
Line 10: PUNCTUATION     -> {
Line 11: KEYWORD         -> adad
Line 11: IDENTIFIER      -> result
Line 11: OPERATOR        -> =
Line 11: IDENTIFIER      -> a
Line 11: OPERATOR        -> *
Line 11: IDENTIFIER      -> b
Line 11: PUNCTUATION     -> ;
Line 12: KEYWORD         -> wapas
Line 12: IDENTIFIER      -> result
Line 12: PUNCTUATION     -> ;
Line 13: PUNCTUATION     -> }
Line 15: KEYWORD         -> dikhao
Line 15: PUNCTUATION     -> (
Line 15: STRING_LITERAL  -> "Program Started"
Line 15: PUNCTUATION     -> )
Line 15: PUNCTUATION     -> ;
Line 17: KEYWORD         -> agar
Line 17: PUNCTUATION     -> (
Line 17: IDENTIFIER      -> x
Line 17: OPERATOR        -> >
Line 17: IDENTIFIER      -> y
Line 17: PUNCTUATION     -> )
Line 17: PUNCTUATION     -> {
Line 18: KEYWORD         -> dikhao
Line 18: PUNCTUATION     -> (
Line 18: STRING_LITERAL  -> "x is greater"
Line 18: PUNCTUATION     -> )
Line 18: PUNCTUATION     -> ;
Line 19: PUNCTUATION     -> }
Line 19: KEYWORD         -> warna
Line 19: PUNCTUATION     -> {
Line 20: KEYWORD         -> dikhao
Line 20: PUNCTUATION     -> (
Line 20: STRING_LITERAL  -> "y is greater or equal"
Line 20: PUNCTUATION     -> )
Line 20: PUNCTUATION     -> ;
Line 21: PUNCTUATION     -> }
Line 23: KEYWORD         -> har
Line 23: PUNCTUATION     -> (
Line 23: IDENTIFIER      -> i
Line 23: OPERATOR        -> =
Line 23: NUMBER          -> 0
Line 23: PUNCTUATION     -> ;
Line 23: IDENTIFIER      -> i
Line 23: OPERATOR        -> <
Line 23: NUMBER          -> 5
Line 23: PUNCTUATION     -> ;
Line 23: IDENTIFIER      -> i
Line 23: OPERATOR        -> =
Line 23: IDENTIFIER      -> i
Line 23: OPERATOR        -> +
Line 23: NUMBER          -> 1
Line 23: PUNCTUATION     -> )
Line 23: PUNCTUATION     -> {
Line 24: KEYWORD         -> dikhao
Line 24: PUNCTUATION     -> (
Line 24: STRING_LITERAL  -> "Loop iteration"
Line 24: PUNCTUATION     -> )
Line 24: PUNCTUATION     -> ;
Line 25: PUNCTUATION     -> }
Line 27: KEYWORD         -> jabtak
Line 27: PUNCTUATION     -> (
Line 27: IDENTIFIER      -> x
Line 27: OPERATOR        -> <
Line 27: NUMBER          -> 20
Line 27: PUNCTUATION     -> )
Line 27: PUNCTUATION     -> {
Line 28: IDENTIFIER      -> x
Line 28: OPERATOR        -> =
Line 28: IDENTIFIER      -> x
Line 28: OPERATOR        -> +
Line 28: NUMBER          -> 2
Line 28: PUNCTUATION     -> ;
Line 29: PUNCTUATION     -> }
Line 31: KEYWORD         -> adad
Line 31: IDENTIFIER      -> total
Line 31: OPERATOR        -> =
Line 31: IDENTIFIER      -> multiply
Line 31: PUNCTUATION     -> (
Line 31: IDENTIFIER      -> x
Line 31: PUNCTUATION     -> ,
Line 31: IDENTIFIER      -> y
Line 31: PUNCTUATION     -> )
Line 31: PUNCTUATION     -> ;
Line 32: KEYWORD         -> dikhao
Line 32: PUNCTUATION     -> (
Line 32: STRING_LITERAL  -> "Total is:"
Line 32: PUNCTUATION     -> )
Line 32: PUNCTUATION     -> ;
Line 33: KEYWORD         -> dikhao
Line 33: PUNCTUATION     -> (
Line 33: IDENTIFIER      -> total
Line 33: PUNCTUATION     -> )
Line 33: PUNCTUATION     -> ;
Line 35: ERROR           -> @
Line 35: IDENTIFIER      -> salary
Line 35: OPERATOR        -> =
Line 35: NUMBER          -> 5000
Line 35: PUNCTUATION     -> ;
Line 37: KEYWORD         -> khatam
Line 37: PUNCTUATION     -> ;
Line 38: PUNCTUATION     -> }
